request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_218,30115035.22,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07."
request_219,1343.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07."
request_220,159.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03. None of the available options keeps the minimum balance protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This keeps the minimum balance protected."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This keeps the minimum balance protected."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This keeps the minimum balance protected.
request_224,8368461.2,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-16. None of the available options keeps the minimum balance protected.
request_225,12267504.5,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120.00, starting 2026-07-20."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today. This keeps the minimum balance protected."
request_227,15516.37,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-20. None of the available options keeps the minimum balance protected.
request_228,5720751.77,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-04-30. None of the available options keeps the minimum balance protected.
request_229,512.75,not_affordable,not_recommended,none,2024-05-15,none,Do not make this payment by 2024-05-23. None of the available options keeps the minimum balance protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This keeps the minimum balance protected."
request_231,34495.34,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 2026-03-17. None of the available options keeps the minimum balance protected.
request_232,692.72,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the minimum balance protected.
request_233,3867222.65,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-12-17. None of the available options keeps the minimum balance protected.
request_234,286.76,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This keeps the minimum balance protected.
request_236,4481781.15,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-23. None of the available options keeps the minimum balance protected.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This keeps the minimum balance protected."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,,stop:event_21888,"Stop Gym membership, then use 3 installments of USD 230.05."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today. This keeps the minimum balance protected.
request_240,18578.76,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the minimum balance protected.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the minimum balance protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This keeps the minimum balance protected."
request_244,47738.73,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the ZAR 49,918.00 request. Full payment cannot be completed safely by 2024-07-16."
request_245,42702.73,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500.00 in full on 2026-01-15. Paying earlier would take the balance below the minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This keeps the minimum balance protected."
request_248,911.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-28. None of the available options keeps the minimum balance protected.
request_249,139.06,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.20 in full on 2026-03-15. Paying earlier would take the balance below the minimum.
request_250,13887.79,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-18. None of the available options keeps the minimum balance protected.
request_251,1513.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-06. None of the available options keeps the minimum balance protected.
request_252,4955300.46,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000.00 in full on 2026-09-15. Paying earlier would take the balance below the minimum."
request_253,1460.55,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-01. None of the available options keeps the minimum balance protected.
request_254,853.48,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Pay USD 3,535.20 in full on 2025-10-15. Paying earlier would take the balance below the minimum."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This keeps the minimum balance protected."
request_256,144885.01,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-19. None of the available options keeps the minimum balance protected.
request_257,399.03,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the minimum balance protected.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This keeps the minimum balance protected."
request_259,364.08,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935.00 in full on 2024-11-15. Paying earlier would take the balance below the minimum.
request_260,7433877.49,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-18. None of the available options keeps the minimum balance protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This keeps the minimum balance protected."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This keeps the minimum balance protected."
request_263,7362.53,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. None of the available options keeps the minimum balance protected.
request_264,18108.12,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300.00 in full on 2026-06-15. Paying earlier would take the balance below the minimum."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today. This keeps the minimum balance protected."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03."
request_267,1572.93,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 2026-03-17. None of the available options keeps the minimum balance protected.
request_268,1040.54,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14."
request_269,8127.5,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-02. None of the available options keeps the minimum balance protected.
request_270,145.17,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. None of the available options keeps the minimum balance protected.
request_271,1296.2,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the minimum balance protected.
request_272,6721120.51,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12."
request_273,8131967.76,affordable_with_plan,partial_payment,2026-04-07:8131967.76|2026-04-15:7729032.24,2026-04-15,none,"Pay IDR 8,131,967.76 today and the remaining IDR 7,729,032.24 on 2026-04-15."
request_274,2174.11,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-15,stop:event_25180|reduce_to:event_25181:51.60,"Stop Video streaming plan and Reduce Clothing and household items to 51.60, then use 3 installments of EUR 940.75."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This keeps the minimum balance protected."
